case_id,0,1,5
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,False,False,False
@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.,True,True,True
@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},False,False,False
@Bridget_Jones was joyous. Worried I would be disappointed. Most definitely was not. #chickflick #giggles #comethefuckonbridget,True,True,True
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,False,False,False
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",False,False,False
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,False,False,False
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",False,True,True
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",False,False,True
@DJ_JeanFranko growl!!!,True,True,True
@DailyMirror i love how theres no outrage that it's a white man but if it was a black man them BLM would be all over it regardless of reason,True,True,True
"@Eeevah14 don't I know it, try not to fret my sweet little pupper",False,False,False
@FFBren @CDCarter13 included for maximum #sadness,True,True,True
@Gronnhair @buryprofs @DittoBistro it was indeed lovely and the team were incredibly attentive and on the ball. Cheese was a lively gesture!,True,True,True
@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!,True,True,True
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,False,False,True
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay ",False,False,True
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",False,False,False
@OHSOVICTORIOUS_ @FaZeAdapt We all seen it coming.. it's sad. But her Instagram comments on her pics are funny. Adapts fans blew it up 😂😂😂,False,True,True
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) #smile",True,True,True
@RyanAbe awe yay thank god I was so worried.,False,False,False
@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,True,True,True
@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,True,True,True
@TrussElise Obama must be fuming.. lol,False,True,True
"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ",True,True,True
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. #hilarious",True,False,False
"@diehimbeertonis She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)",True,False,False
@hesham786 that's the spirit ,True,True,True
@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,True,True,True
@pmo100 @5liveSport .....I heard talk something is a miss. He looks weary.,True,True,True
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",False,False,False
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",True,True,False
@tomderivan73 😁...I'll just people watch and enjoy a rare show of optimism,True,True,True
An adviser to the #European #Union’s top #court said #Hamas and the #Tamil #Tigers should be taken off the EU’s #terror list.#lka,False,False,False
And I cried in front of my guy last night. And it's just been a horrible week but it's only for a week,False,False,False
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",False,False,False
"But I was so intrigued by your style, boy.Always been a sucker for a wild boy #alarm -@AnneMarieIAm",False,False,False
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,True,True,True
Dolores.' A thin lipped smile graced glossed lips as she let blues peer over at the woman. ' A constant delight.. As always.',True,True,False
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues,False,True,True
"Good #CX most often doesn't require all that much. #smile, #care, #relate and be #helpful. Thanks, Lakis Court Hotel in #cyprus",True,True,True
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,False,False,False
"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂",False,False,False
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,True,True,True
I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,True,True,True
"If yiu don't respond .o an email within 7 days, you willxbe killed by an animated gif of the girl froa The Ri.g.",False,False,False
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",True,True,True
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,True,True,True
It really is amazing the money they give to some of these QB's #nfl #texans #brock ,False,False,False
It really is amazing the money they give to some of these QB's #nfl #texans #brock #terrible,False,False,False
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,True,True,True
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",False,False,False
Literally fuming fuck sake,True,True,True
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",True,True,True
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",False,False,False
Might just leave and aggravate bae,False,False,False
My life went from happy to unhappy..,True,True,True
"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn",True,True,True
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible",False,False,False
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,False,False,True
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,False,False,False
Rooney shocking attempted cross,False,False,False
SOBRIETY®   trying to make being sober fashionable….can it be done ? #zeroalcohol #soberoctober #clubsoda #nomorehangovers #sober,False,False,False
So far ours greet have raised £250 for @HGatChristmas with more to come in #sparkling @CllrJohnFox @simoncotton69,True,True,True
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,True,True,True
Southend players always haunt Man U,False,False,False
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",True,True,True
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? #afraid,True,True,True
The smell of freshly cut grass didn't even cheer me up...boy oh boy,False,False,False
"TheNiceBot: IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot #الخفجي",True,True,True
Trying to book holiday flights on @britishairways website is becoming a ,False,True,False
Trying to book holiday flights on @britishairways website is becoming a #nightmare,False,True,True
Tweeting from the sporadic wifi on the tube #perilous,True,True,True
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",True,False,False
amateur author Twitter might be the most depressing thing I've ever seen,True,True,True
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',False,False,False
watching this uni reveal is so depressing i miss stingrays :(,True,True,True
yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?,False,False,False
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,False,True,True
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,True,True,True
